id,title,content,brief,target,type
10020,Architecture Branch City,"    An Fushi order among refugees, according to the law the doctor to the ground in the wild sub-city buildings. Of course, we want to build must be easy to divide the city before finishing flat, and all the resources needed to raise their own, of course, in the face of the city can bring gains points, which are no longer a problem.","    Official to reach the doctor, you can create a new sub-city. You first need to field a ground occupation, and sent a fairy stationed in the wild plains occupied, thus satisfying the basic conditions for the establishment of a divided city, and then wait for the main city of gold, food, wood, stone and copper ores reached thousands, select stationed ground immortal, click [fortification], you belong to a sub-city has been constructed.",Built sub-city,1
20001,What the people,"    Population is the basis for the prosperity of the city, the development of the power of the city, and tax revenues, the source of the soldiers are inseparable from the people. Massive construction projects, build and upgrade a large number of houses is a prerequisite for increased population.","    The construction of more buildings and upgrade [houses], the population limit of 2,000",2000,1
20002,What the people,"    Population is the basis for the prosperity of the city, the development of the power of the city, and tax revenues, the source of the soldiers are inseparable from the people. The strong increase in population, is the basis for the rapid development of the city.","    The construction of more buildings and upgrade [houses], the population reached the upper limit of 3000",3000,1
20003,What the people,"    Population is the basis for the prosperity of the city, the development of the power of the city, and tax revenues, the source of the soldiers are inseparable from the people. Houses continue to escalate, make the city to maintain prosperity.","    The construction of more buildings and upgrade [houses], the upper limit of the population up to 5000",5000,1
20004,What the people,"    Population is the basis for the prosperity of the city, the development of the power of the city, and tax revenues, the source of the soldiers are inseparable from the people. To continue its efforts, a bustling city soon appeared.","    The construction of more buildings and upgrade [houses], the population cap of 7000",8000,1
20005,What the people,"    Population is the basis for the prosperity of the city, the development of the power of the city, and tax revenues, the source of the soldiers are inseparable from the people. A bustling prestigious big city has emerged, toward a higher goal it up.","    The construction of more buildings and upgrade [houses], the population limit of 10,000","12,000",1
20006,What the people,"    The streets of pedestrians coming and going, busy; knot shed for the city bazaar, thousands of businessmen; craftsmen paved with hard labor artisans, blacksmith voices. Both show the city's noisy downtown as well as powerful, so did not dare to ignore the power around.","    The construction of more buildings and upgrade [houses], the population limit of 15,000","18,000",1
20007,What the people,"    The streets of pedestrians coming and going, busy; knot shed for the city bazaar, thousands of businessmen; craftsmen paved with hard labor artisans, blacksmith voices. Both show the city's noisy downtown as well as powerful, so did not dare to ignore the power around.","    The construction of more buildings and upgrade [houses], the population limit of 30,000","30,000",1
20008,What the people,"    The streets of pedestrians coming and going, busy; knot shed for the city bazaar, thousands of businessmen; craftsmen paved with hard labor artisans, blacksmith voices. Both show the city's noisy downtown as well as powerful, so did not dare to ignore the power around.","    The construction of more buildings and upgrade [houses], the population limit of 50,000",50000,1
20012,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.",    Upgrade to 5 [farmland],Upgrade Farm,1
20013,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.",    New and upgraded [farmland] the grain output reached 800 per hour.,Yield 800,1
20014,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.",    New and upgraded [farmland] the grain output reached 1600 per hour.,Yield 1600,1
20015,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.",    New and upgraded [farmland] the grain output reached 2700 per hour.,Yield 2700,1
20016,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.",    New and upgraded [farmland] the grain output reached 4000 per hour.,Yield 4000,1
20017,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.",    New and upgraded [farmland] the grain output reached 6000 per hour.,Yield 6000,1
20018,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.","    New and upgraded the [agricultural] food production to reach 10,000 per hour.",Yield 10000,1
20019,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.","    New and upgraded [farmland] the grain output reached 20,000 per hour.","Production 20,000",1
20022,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.",    [Upgrade] to 5 Woodland,Woodland upgrade,1
20023,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.",    New and upgraded the wood] [forest farm production reached 800 per hour.,Yield 800,1
20024,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.",    New and upgraded the wood] [forest farm production reached 1600 per hour.,Yield 1600,1
20025,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.",    New and upgraded the wood] [forest farm production reached 2700 per hour.,Yield 2700,1
20026,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.",    New and upgraded the wood] [forest farm production reached 4000 per hour.,Yield 4000,1
20027,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.",    New and upgraded the wood] [forest farm production reached 6000 per hour.,Yield 6000,1
20028,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.","    New and upgrade [the] tree farm timber production up to 10,000 per hour.",Yield 10000,1
20029,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.","    New and upgraded the wood] [forest farm production reached 20,000 per hour.","Production 20,000",1
20032,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.",    Upgrade [quarry] to 5,Upgrade quarry,1
20033,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.",    New and upgraded [the stone quarry] production reached 800 per hour.,Yield 800,1
20034,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.",    New and upgraded [the stone quarry] production reached 1600 per hour.,Yield 1600,1
20035,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.",    New and upgraded [the stone quarry] production reached 2700 per hour.,Yield 2700,1
20036,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.",    New and upgraded [the stone quarry] production reached 4000 per hour.,Yield 4000,1
20037,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.",    New and upgraded [the stone quarry] production reached 6000 per hour.,Yield 6000,1
20038,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.","    New and upgraded [the stone quarry] yield up to 10,000 per hour.",Yield 10000,1
20039,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.","    New and upgraded [the stone quarry] production reached 20,000 per hour.","Production 20,000",1
20042,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.",    [Upgrade] to 5 copper mine,Upgrade copper mine,1
20043,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.",    New and upgraded] [copper mine copper production reached 800 per hour.,Yield 800,1
20044,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.",    New and upgraded] [copper mine copper production reached 1600 per hour.,Yield 1600,1
20045,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.",    New and upgraded] [copper mine copper production reached 2700 per hour.,Yield 2700,1
20046,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.",    New and upgraded] [copper mine copper production reached 4000 per hour.,Yield 4000,1
20047,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.",    New and upgraded] [copper mine copper production reached 6000 per hour.,Yield 6000,1
20048,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.","    New and upgraded] [copper mine copper production reached 10,000 per hour.",Yield 10000,1
20049,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.","    New and upgraded] [copper mine copper production reached 20,000 per hour.","Production 20,000",1
20051,Logistics firm,"    Logistics is always the basis for development, has a stable logistical infrastructure, urban development, or whether it will become easy one to conquer new territories.","    Four basic resources to upgrade production facilities, so that they have reached eight.",8,1
20052,Logistics firm,"    Logistics is always the basis for development, has a stable logistical infrastructure, urban development, or whether it will become easy one to conquer new territories.","    Four basic resources to upgrade production facilities, so that they have reached 10.",10,1
20053,Logistics firm,"    Logistics is always the basis for development, has a stable logistical infrastructure, urban development, or whether it will become easy one to conquer new territories.","    Four basic resources to upgrade production facilities, so that they have reached 12.",12,1
20054,Logistics firm,"    Logistics is always the basis for development, has a stable logistical infrastructure, urban development, or whether it will become easy one to conquer new territories.","    Four basic resources to upgrade production facilities, so that they have reached 14.",14,1
20055,Logistics firm,"    Logistics is always the basis for development, has a stable logistical infrastructure, urban development, or whether it will become easy one to conquer new territories.","    Four basic resources to upgrade production facilities, so that they have reached 16.",16,1
20056,Logistics firm,"    Logistics is always the basis for development, has a stable logistical infrastructure, urban development, or whether it will become easy one to conquer new territories.","    Four basic resources to upgrade production facilities, so that they have reached 18.",18,1
20057,Logistics firm,"    Logistics is always the basis for development, has a stable logistical infrastructure, urban development, or whether it will become easy one to conquer new territories.","    Four basic resources to upgrade production facilities, so that they have reached 20.",20,1
20101,Diligent government,"    Palace is the center of the city's institutions to manage, upgrade palace can greatly improve administrative efficiency. Each upgrade level 1 Palace, can be more occupied a subsidiary of the wild, increasing an open space outside the city and improve the capacity of the city of gold.",    Upgrade to level 3 [palace],Upgrade Palace 3,1
20102,Diligent government,"    Palace is the center of the city's institutions to manage, upgrade palace can greatly improve administrative efficiency. Each upgrade level 1 Palace, can be more occupied a subsidiary of the wild, increasing an open space outside the city and improve the capacity of the city of gold.",    Upgrade to level 4 [palace],Upgrade Palace 4,1
20103,Diligent government,"    Palace is the center of the city's institutions to manage, upgrade palace can greatly improve administrative efficiency. Upgrading palace to level 5, you can occupy 5 affiliated wilderness, 13 open space outside the city of gold and 800,000 capacity.",    Upgrade to 5 [palace],Upgrade Palace 5,1
20104,Diligent government,"    Palace is the center of the city's institutions to manage, upgrade palace can greatly improve administrative efficiency. Upgrading palace to 10, you can occupy 10 affiliated wilderness, 19 open space outside the city of gold and 2.8 million capacity.",    Upgrade to 10 [palace],Upgrade Palace 10,1
20105,Diligent government,"    Palace is the center of the city's institutions to manage, upgrade palace can greatly improve administrative efficiency. Upgrading palace to 20, you can occupy 20 affiliated wilderness, 33 open space outside the city of gold and 10.55 million capacity.",    Upgrade to 20 [palace],Upgrade Palace 20,1
20110,Cultivation asked.,"    Cultivation hospital in full-time practice a variety of fairy Xianshu, different Xianshu respectively produce an additive effect on production, the construction of the fighting. Cultivation hospital with the level of upgrade, can practice grade-fairy will increase as a result.",    [Upgrade] to level 2 hospital Cultivation,Cultivation hospital upgrades,1
20120,Reinforced walls,"    The development of the city has attracted a malicious robber's watching, build tall walls can be effective defense of the invasion of these bandits.",    [Walls] Level 2 upgrade,Upgrade walls 2,1
20121,Reinforced walls,"    The development of the city has attracted a malicious robber's watching, build tall walls can be effective defense of the invasion of these bandits.",    Upgrade to level 3 [walls],Upgrade walls 3,1
20122,Reinforced walls,"    The development of the city has attracted a malicious robber's watching, build tall walls can be effective defense of the invasion of these bandits.",    Upgrade walls [4] level,Upgrade walls 4,1
20123,Reinforced walls,"    The development of the city has attracted a malicious robber's watching, build tall walls can be effective defense of the invasion of these bandits.",    Upgrade to 5 [walls],Upgrade walls 5,1
20124,Reinforced walls,"    The development of the city has attracted a malicious robber's watching, build tall walls can be effective defense of the invasion of these bandits.",    Upgrade to 10 [walls],Upgrade walls 10,1
20125,Reinforced walls,"    Chong Yong far one hundred pheasants, close-guarded; tough for a show in front of the magnificent Golden City, with ""its people are poor seek, to do their insurance, match made in heaven"" to describe is not an exaggeration. So that thieves can not snoop around thieves, powerful princes also its marvel.",    Upgrade to 20 [walls],Upgrade walls 20,1
20140,Courteous,"    San Xian who wander Xingaoqiao to recruit them to work for you, you need more than Bin gift of hospitality and construction of the fairy for them to live. The higher the level of the fairy, the fairy can recruit more.",    Upgrade to stage [2] the fairy,Upgrading the fairy 2,1
20141,Courteous,"    San Xian who wander Xingaoqiao to recruit them to work for you, you need more than Bin gift of hospitality and construction of the fairy for them to live. The higher the level of the fairy, the fairy can recruit more.",    [] The fairy upgrade to level 3,Upgrading the fairy 3,1
20142,Courteous,"    San Xian who wander Xingaoqiao to recruit them to work for you, you need more than Bin gift of hospitality and construction of the fairy for them to live. The higher the level of the fairy, the fairy can recruit more.",    Upgrade to stage [4] the fairy,Upgrading the fairy 4,1
20143,Courteous,"    San Xian who wander Xingaoqiao to recruit them to work for you, you need more than Bin gift of hospitality and construction of the fairy for them to live. The higher the level of the fairy, the fairy can recruit more.",    [Upgrade] to the fairy 5,Upgrading the fairy 5,1
20144,Courteous,"    San Xian who wander Xingaoqiao to recruit them to work for you, you need more than Bin gift of hospitality and construction of the fairy for them to live. The higher the level of the fairy, the fairy can recruit more.",    Upgrade to [10] the fairy,Upgrading the fairy 10,1
20145,Courteous,"    San Xian who wander Xingaoqiao to recruit them to work for you, you need more than Bin gift of hospitality and construction of the fairy for them to live. The higher the level of the fairy, the fairy can recruit more.",    [Upgrade] the fairy to 20,Upgrading the fairy 20,1
20150,Defending the homeland,"    Barracks buildings in the city is the basis for training soldiers, senior barracks not only necessary prerequisite for advanced arms, and the higher the level of training soldiers barracks faster.",    Upgrade to level 2 [barracks],Upgrade barracks 2,1
20151,Defending the homeland,"    Barracks buildings in the city is the basis for training soldiers, senior barracks not only necessary prerequisite for advanced arms, and the higher the level of training soldiers barracks faster.",    Upgrade to level 3 [barracks],Upgrade barracks 3,1
20152,Defending the homeland,"    Barracks buildings in the city is the basis for training soldiers, senior barracks not only necessary prerequisite for advanced arms, and the higher the level of training soldiers barracks faster.",    Upgrade to level 4 [barracks],Upgrade Barracks 4,1
20153,Defending the homeland,"    Barracks buildings in the city is the basis for training soldiers, senior barracks not only necessary prerequisite for advanced arms, and the higher the level of training soldiers barracks faster. Level 5 is the training barracks knife shield soldiers [of] the necessary preconditions.",    Upgrade to 5 [barracks],Upgrade barracks 5,1
20154,Defending the homeland,"    Barracks buildings in the city is the basis for training soldiers, senior barracks not only necessary prerequisite for advanced arms, and the higher the level of training soldiers barracks faster. 10 training barracks is a necessary precondition for [the] archers.",    Upgrade to 10 [barracks],Upgrade barracks 10,1
20155,Defending the homeland,"    Barracks buildings in the city is the basis for training soldiers, senior barracks not only necessary prerequisite for advanced arms, and the higher the level of training soldiers barracks faster. 15 branches of the military barracks is a necessary precondition for the ultimate training [soldiers] in the chariot.",    Upgrade to 15 [barracks],Upgrade barracks 15,1
20156,Defending the homeland,"    Barracks buildings in the city is the basis for training soldiers, senior barracks not only necessary prerequisite for advanced arms, and the higher the level of training soldiers barracks faster.",    Upgrade to 20 [barracks],Upgrade barracks 20,1
20160,Soldiers on the battlefield,"    Troops in the field is the city to mass troops, military formulate policy recommendations of the military, where you can see the army, the military intelligence, the development of military tactics. Troops field grade level influence the number of troops at the same time played. Upgrading Troops field can speed up the efficiency of military policy to build more troops",    [Upgrade] Soldiers Field to level 2,Troops field upgrade,1
20170,Built warehouse,"    The warehouse can store a variety of resources. When the city was looted, some resources can be avoided if a pre-existing warehouse was robbed.",    [Construction] in [the city] warehouse space.,The construction of a warehouse 1,1
20171,Upgrade warehouse,"    The warehouse can store a variety of resources. When the city was looted, some resources can be avoided if a pre-existing warehouse was robbed. Upgrade the warehouse level to protect more resources.",    [Warehouse] upgrade to Level 2.,Construction of warehouse 2,1
20172,Upgrade warehouse,"    The warehouse can store a variety of resources. When the city was looted, some resources can be avoided if a pre-existing warehouse was robbed. Upgrade the warehouse level to protect more resources.",    [Warehouse] upgrade to level 3.,Construction of warehouse 3,1
20173,Upgrade warehouse,"    The warehouse can store a variety of resources. When the city was looted, some resources can be avoided if a pre-existing warehouse was robbed. Upgrade the warehouse level to protect more resources.",    [Warehouse] upgrade to level 4.,4 warehouse construction,1
20174,Upgrade warehouse,"    The warehouse can store a variety of resources. When the city was looted, some resources can be avoided if a pre-existing warehouse was robbed. Upgrade the warehouse level to protect more resources.",    [Warehouse] upgrade to Level 5.,5 storehouse construction,1
20175,Upgrade warehouse,"    The warehouse can store a variety of resources. When the city was looted, some resources can be avoided if a pre-existing warehouse was robbed. Upgrade the warehouse level to protect more resources.",    [Warehouse] upgrade to 10.,10 warehouse construction,1
20176,Upgrade warehouse,"    The warehouse can store a variety of resources. When the city was looted, some resources can be avoided if a pre-existing warehouse was robbed. Upgrade the warehouse level to protect more resources.",    [Warehouse] upgrade to 20.,20 warehouse construction,1
20180,Or vice versa,"    More and more city resources, a trade fair for the construction of merchant north-south trade, but also for exchange of resources, goods and the princes. The higher the level the more resources can be traded, can be carried out more transactions at the same time.",    [Construction] market in [the city of] space.,Construction market,1
20190,Princes Alliance,"    Alliance Forum is to invite other princes meet, discuss and covenant place. Level 1 Alliance altar can join the alliance, level 2 when you can create alliances.",    [Alliance] altar built in the city [space].,Alliance to build the altar,1
20200,Bronze workshop,"    Bronze Square in specially craftsmen to build weapons, with the bronze level increases Square, artisans can also create enhanced immortal equipment.",    [Space] in the city construction [Square] bronze.,Built bronze Square,1
20210,Ordnance Workshop,"    Ordnance Workshop is used in the production of ordinary soldiers, weapons and equipment necessary building.",    [Space] in the city built workshop [ordnance].,Built Ordnance Workshop,1
20220,Captive good horse,"    Stables not only provide a large number of horses chariots necessary for you, or a material transport is responsible for an important place through the city stables you can transport resources to other city.",    [Stables] in [construction] the city open space.,New stables,1
20230,Water Horse Inn,    Existence inn makes your army can move and transport between the city and the city more convenient.,    [Space] in the construction of the city [post].,Build Inn,1
20240,Zhen Ji four,"    Detailed information is an important foundation to win the war, Zhen Ji camp enables you to explore the surrounding wilderness, enemy intelligence.",    [Space] in the city construction [Zhen Ji camp].,New Zhen Ji camp,1
20250,War warning,"    Beacon able to alert you to the invading enemy, the enemy advance formulate strategies against enemy aggression.",    [Beacon] [construction in] the city open space.,Built Beacon,1
20260,Driving fast,"    Inn stables and upgrade the army can move faster between the city more. Stables Inn is a necessary precondition for the upgrade, the higher the level of post, troops moved between the city faster.",    Upgrade [stables] and [post] to Level 2,Driving fast,1
30001,Divine work,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. A liter increase farm yields 2%",    Cultivation practitioners in hospital [] in [work] surgery to Level 1,Art work,1
30011,Logging divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Lasts a sawmill yield 2%",    Cultivation in the [hospital] in [practitioners] to level 1 logging operation,Logging surgery,1
30021,Mining divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increase 2% yield quarry",    Cultivation in the [hospital] in [practitioners] to level 1 mining operation,Mining operation,1
30031,Mining divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Per liter of a copper mine production increased 2%",    Cultivation practitioners in hospital [] in [mining] surgery to Level 1,Mining surgery,1
30041,Golden Divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Tax increases of 2% per level",    Cultivation in the [hospital] in [practitioners] alchemy to Level 1,Golden Touch,1
30051,Divine control,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increases the speed of transport 2%",    Cultivation in the [hospital] in [practitioners] to control the operation level 1,Control surgery,1
30061,Fortification divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increases the speed of construction of 2%",    Cultivation in the [hospital] in [practitioners] fortification technique to level 1,Fortification surgery,1
30071,Storage divine,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Each level increases warehouse storage capacity of 4%",    Cultivation in the [hospital] in [practitioners] stored procedure to level 1,Storage surgery,1
30081,Divine body care,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Per liter increase a soldier defense two percent.",    Cultivation in the [hospital] in body care practitioners [surgery] to Level 1,Body care surgery,1
30082,God surgery training,"    Cultivation yard practitioner who devout prayer, pray for the blessing of the gods bless you. Increasing a rate of 2 liter recruitment%. Level 5 training technique is a necessary prerequisite for the training of Archers.",    Cultivation practitioners in hospital [] in [training] surgery to 5,5 training technique,1
